title,description,level,Technology,tags,duration,Hourly_Rate_budget,project_budget,link,platforms,,
E-commerce Website with Integrated Features,"Create a comprehensive website called [login to view URL] with functionalities similar to [login to view URL], incorporating an integrated database where vendors can list their car parts and customers can search for parts using their vehicle's VIN number.",Intermediate,Web,"Website Development
Website Design
HTML
MySql
PHP",,,$1500 - $3000,https://www.freelancer.in/projects/html/commerce-website-with-integrated,Freelancer,,
Multi-platform Social Media App Development,"I'm seeking a skilled app developer to design a comprehensive social media application that can be used on iOS, Android, and Web.",Intermediate,App,"Mobile App Development
Android
Iphone
PHP",,,$750 - $1500,https://www.freelancer.in/projects/iphone-app-development/multi-platform-social-media-app-38003496,Freelancer,,
Stripe-Integrated Flutter Ticket Booking,"I'm seeking a proficient Flutter developer who can create widgets compatible with Android, iOS, and Flutter web applications. The primary function of the widget will be to facilitate ticket booking.",Intermediate,App,"Mobile App Development
Android
IOS Development
Flutter",,,$10 - $30,https://www.freelancer.in/projects/android/stripe-integrated-flutter-ticket-booking,Freelancer,,
React Native Mobile App Development,"I need a proficient React Native developer who can construct an application for both iOS and Android. The goal is to recapture all the features currently available in our web app built with React, Django and AWS.",Intermediate,App,"Mobile App Development
Django
React.js
React Native",,,$180 - $380,https://www.freelancer.in/projects/mobile-app-development/react-native-mobile-app-development-38003084,Freelancer,,
Android App Components Development,I'm looking for an expert Android developer to assist with the user interface design and database integration (using Firebase) of a utility tool Android app.,Intermediate,App,"Mobile App Development
Android
Java",,,$30 - $250,https://www.freelancer.in/projects/android/android-app-components-development,Freelancer,,
Multifaceted Chitchat App Development,"I'm seeking an experienced app developer or team to bring my vision to life. This project involves creating an app for iOS, Android, and the Web that promotes seamless conversation amongst its users.",Intermediate,App,"Mobile App Development
Android",,,$250 - $600,https://www.freelancer.in/projects/mobile-app-development/multifaceted-chitchat-app-development,Freelancer,,
Android E-Commerce App Developer,I'm looking for an experienced Android developer to help me create an E-Commerce mobile application.,Intermediate,App,"Mobile App Development
Android
Java
HTML5",,,12500 - 37500,https://www.freelancer.in/projects/android/android-commerce-app-developer,Freelancer,,
React Native Media Streaming App,I'm seeking a capable developer proficient in React Native and equipped with experience in the development and integration of media streaming features for both iOS and Android platforms.,Export,App,"Mobile App Develoopment
React Native
Android
HTML5",,,750 - 1250,https://www.freelancer.in/projects/mobile-app-development/react-native-media-streaming-app,Freelancer,,
Video Streaming App Development (iOS & Android),I'm looking for a skilled mobile app developer to build a video streaming platform similar to ReelShort app.,Intermediate,App,"Mobile App Development
Android
Iphone
PHP
JQuery",,,$1500 - $3000,https://www.freelancer.in/projects/iphone-app-development/video-streaming-app-development-ios,Freelancer,,
Laravel Developer for High Complexity Bug Fixes,I'm in need of an experienced Laravel developer who can assist me with resolving critical bugs in the core functionality of my website.,Export,Web,"Website Design
Laravel
PHP
HTML
MySql",,,1500 - 12500,https://www.freelancer.in/projects/php/laravel-developer-for-high-complexity,Freelancer,,
Web Hosting Reseller for Small Businesses,I'm in search of a reliable web hosting reseller to cater to my small business audience.,Intermediate,Web,"Website Design
PHP
HTML
Graphic Design",,,37500 - 75000,https://www.freelancer.in/projects/website-design/web-hosting-reseller-for-small,Freelancer,,
JSP Web Application Development,I'm urgently seeking a professional to help with my JSP project.,Intermediate,Web,"Website Design
JSP
HTML
PHP
Java",,,$10 - $30,https://www.freelancer.in/projects/jsp/jsp-web-application-development,Freelancer,,
WordPress Landing Page Design,I'm in need of a WordPress developer to create a landing page for my project similar to the attached image. The design should closely resemble the image I've provided.,Intermediate,Web,"Word Press
Website Design
Graphic Design
PHP
HTML",,,$30 - $250,https://www.freelancer.in/projects/wordpress/wordpress-landing-page-design-38002610,Freelancer,,
E-commerce Website Design for Services,"I'm in need of a skilled web designer to create an e-commerce website. The site will be selling services, specifically consulting and courses.",Intermediate,Web,"Website Design
Graphic Design
eCommerce
HTML",,,$1500 - $3000,https://www.freelancer.in/projects/ecommerce/commerce-website-design-for-services,Freelancer,,
E-Commerce API Integration,I need a proficient developer to implement an sms otp platform's API into my existing project. Specifics about the platform will be disclosed upon agreement.,Intermediate,Web,"Website Design
Graphic Design
Photoshop
HTML",,,€750 - €1500,https://www.freelancer.in/projects/website-design/commerce-api-integration,Freelancer,,
Ethereum Polygon Contract Deployment,I am in need of a developer with experience in deploying contracts on the Ethereum blockchain.,Intermediate,Blockchain,"Blockchain Development
Ethereum
Software Architecture",,,$8 - $15,https://www.freelancer.in/projects/software-architecture/urgent-ethereum-polygon-contract,Freelancer,,
Blockchain Expert(Cosmos SDK and Solana),I am looking for a skilled professional conversant with Cosmos SDK and Solana blockchain platforms.,Intermediate,Blockchain,"Blockchain Development 
Solidity
Solana",,,$250 - $750,https://www.freelancer.in/projects/solidity/blockchain-expert-cosmos-sdk-solana,Freelancer,,
Smart Contracts Staking Platform Development Solana,"With expertise in blockchain technology, I'm focused on creating a sophisticated staking platform that fully utilizes the power of smart contracts. I’m specifically interested in the effective management of staking pools.",Intermediate,Blockchain,"Blockchain Development
Solana
React.js",,,$750 - $1500,https://www.freelancer.in/projects/solana/smart-contracts-staking-platform,Freelancer,,
Optimizing BlockChain Script Performance,I am looking for someone who is skilled in Blockchain,Intermediate,Blockchain,"Blockchain Development
Node.js
Web3.js",,,$30 - $250,https://www.freelancer.in/projects/blockchain/optimizing-blockchain-script-performance,Freelancer,,
TON Blockchain - Smart Contract & Token Development,I'm seeking a skilled blockchain developer to work on a project that involves creating a new contract and token on the TON blockchain.,Intermediate,Blockchain,"Blockchain Development
JavaScript
Smart Contracts
Solidity",,,$250 - $750,https://www.freelancer.in/projects/blockchain/ton-blockchain-smart-contract-token,Freelancer,,
Dune Analytics Dashboard Development,"We would like to create a Dune Dashboard for a token project, with the following data, which is all onchain.",Intermediate,Blockchain,"Blockchain Development
Ethereum
Web3.js",,,$200 - $400,https://www.freelancer.in/projects/web3js/dune-analytics-dashboard-development,Freelancer,,
Seeking Senior Blockchain Engineer,We are looking for a talented and experienced blockchain engineer to join our team and help us build the next generation of crypto trading tools.,Export,Blockchain,"Blockchain Development
Smart Contracts
JavaScript
Python",,,$50 ,https://www.freelancer.in/projects/blockchain/seeking-senior-blockchain-engineer,Freelancer,,
Blockchain Expert for Security API Creation,"I am in need of a skilled blockchain expert who can develop an efficient security API for me. Despite the specifics not being defined yet, I envisage that the APIs will need to offer robust security features.",Export,Blockchain,"Blockchain Development
Ethereum
Solidity",,,$2 - $8,https://www.freelancer.in/projects/blockchain/blockchain-expert-for-security-api,Freelancer,,
Looking for Blockchain Game Developer,"I'm looking for a Full Stack Developer experienced in blockchain technology and game development to create a web-based game utilizing Ethereum's blockchain, Node.JS, and wallet integration",Export,Blockchain,"Blockchain Development
Node.js
Java
Ethereum",,,$25 - $50,https://www.freelancer.in/projects/nodejs/looking-for-blockchain-game-developer,Freelancer,,
Ethereum DApp Developer for Voting System,I'm seeking a blockchain expert with proficient knowledge and practical experience in Ethereum to build a Decentralized Application (DApp) with the aim of serving the voting industry.,Export,Blockchain,"Blockchain Development
Website Design
Ethereum
Full Stack Development",,,600 - 1500,https://www.freelancer.in/projects/website-design/ethereum-dapp-developer-for-voting,Freelancer,,
Contact Page and Compare Functionality Fixes,I need a professional to fix a few issues on my website and add a compare feature.,Export,Web,"Web Development
HTML
CSS
Software Development",,,$10 - $30,https://www.freelancer.in/projects/web-development/contact-page-compare-functionality-fixes,Freelancer,,
Restaurant Website Development,"We already have the layout for the ordering system. The code for the menu , ordering function is already set up. We need someone to implement a few more features to our code",Export,Web,"Web Development
SQL
Frontend Development
Backend Development",,,600 - 1500,https://www.freelancer.in/projects/web-development/restaurant-website-development,Freelancer,,
Technology Sector Lead Generation,I am seeking an experienced professional in B2B and B2C user acquisition who can create a robust lead generation strategy targeting the technology sector.,Export,Web,"Web Development
Website Design
Mobile App Development
Graphic Design",,,600 - 1500,https://www.freelancer.in/projects/website-design/technology-sector-lead-generation,Freelancer,,
Android App Developer for Ad Implementation,I'm seeking an Android app developer who is well-versed with implementing various types of ads into mobile applications.,Export,App,"Mobile App Development
Android
Java",,,1000 - 2500,https://www.freelancer.in/projects/android/android-app-developer-for-implementation,Freelancer,,
Custom Blockchain Development Specialist,"As an individual beginning a new project, I'm seeking a skilled blockchain expert proficient in Solidity. Your role will encompass the development of a custom blockchain solution on the Ethereum platform.",Export,Blockchain,"Blockchain Development
Ethereum
Software Architecture
Solna",,,$2 - $8,https://www.freelancer.in/projects/software-architecture/custom-blockchain-development-specialist,Freelancer,,
Develop the simple multi-image slideshow application,"we are in the need of a simple multi image ( 28 square images on one 16/9 fullscreen ) slideshow, should be windows based, can also be mac based.",Intermediate,Web Development,"Web Application
Desktop Application
JavaScript
Python",,,$20 - $70,https://www.freelancer.in/projects/desktop-application/simple-slideshow-for-image-mosaik,Freelancer,,
Next.js Tarot Card Reading Web App,"We are looking for an experienced [login to view URL] developer to build an advanced tarot card reading application similar to Lumi Tarot - [login to view URL] This application will incorporate user authentication, profile management, and multiple user tiers with enhanced functionalities.",Intermediate,Web Development,"Web Application
JavaScript
React.js
Next.js",,,$250 - $500,https://www.freelancer.in/projects/javascript/next-tarot-card-reading-web,Freelancer,,
Design a Website Mockup,"I'm on the hunt for a skilled web developer to create an intuitive and captivating cab booking website using Google map embed api offering national coverage, in order to provide an unparalleled ride experience for our customers.",Intermediate,Web Development,"Web Development
Website Design
Database Design",,,12500 - 37500,https://www.freelancer.in/projects/web-development/design-website-mockup,Freelancer,,
Simulation Game Development for Adults,"I'm looking for an experienced game developer to create an engaging simulation game aimed at adults, to be played on mobile devices.",Intermediate,Web Development,"Web Development
Android
Game Development
Game Design",,,37500 - 75000,https://www.freelancer.in/projects/iphone-app-development/simulation-game-development-for-adults,Freelancer,,
Construct Effective Property Management System,We are seeking a skilled developer to create a comprehensive web and mobile app that will serve as a tool for property management.,Intermediate,Web Development,"Web Development
JavaScript
React Native
PHP",,,$250 - $750,https://www.freelancer.in/projects/mobile-app-development/construct-effective-property-management,Freelancer,,
Real-time Fund Transfer Web App,I'm looking for an experienced developer to create a web-based application focused on real-time fund transfers using UPI protocols.,Intermediate,Web Development,"Web Development
Python
Flask
Craytography",,,1500 - 12500,https://www.freelancer.in/projects/web-development/real-time-fund-transfer-web,Freelancer,,
BTC USDT Flash Developer,"I'm seeking a skilled developer to create a BTC USDT flash application. I have not yet specified particular features or designs, so I'm open to your suggestions.",Intermediate,Web Development,"JavaScript
PHP
Java",,,12500 - 37500,https://www.freelancer.in/projects/flash/btc-usdt-flash-developer-38014873,Freelancer,,
Bitcoin HD Wallet Development & Deposit Tracking,I'm looking for a skilled developer to create a Bitcoin HD wallet with specific features for the web platform. This wallet should also enable the tracking of incoming deposits and ensure secure user authentication,Intermediate,Blockchain Development,"Blockchain Development
PHP
Node.js
Bitcoin",,,$250 - $750,https://www.freelancer.in/projects/php/bitcoin-wallet-development-deposit,Freelancer,,
Ethereum Blockchain Developer Needed,I am looking for an intermediate level blockchain developer with a strong understanding of Ethereum.,Intermediate,Blockchain Development,"Blockchain Development
Ethereum",,,€36,https://www.freelancer.in/projects/ethereum/ethereum-blockchain-developer-needed,Freelancer,,
Complete current project,I want to complete my project. My previous developer was unable to continue working on the project and did not share all project information.,Intermediate,Blockchain Development,"Blockchain Development
React.js
Ethereum
Web3.js",,,$15 - $25,https://www.freelancer.in/projects/react-js/complete-current-project,Freelancer,,
Forex Trading Management Partner Needed,I am a forex trader in search of a trusted partner who can manage and execute trades for my business. This is a long-term role and I am willing to split commission 50/50.,Intermediate,App Development,"App Development
Web Security
Website Design",,,"$50,000 ",https://www.freelancer.in/projects/website-design/forex-trading-management-partner-needed,Freelancer,,
Developer for Care-Matching WebApp,Our goal is to develop a Reactive Web App that would help match care-providers with care-seekers (similar to what SitterCity does). We have requirements specs that we can provide to help get started on the project.,Intermediate,App Development,"App Development
Mobile App Development
Website Design
React Native",,,$5000 - $10000,https://www.freelancer.in/projects/website-design/developer-for-care-matching-webapp,Freelancer,,
build a app like uber but simpler.,"I want an app similar to Uber, but simpler and in web mode. The website must allow registration with a username or email and password or with social networks.",Intermediate,App Development,"App Developer
Web Development",,,€1500 - €3000,https://www.freelancer.in/projects/web-development/build-app-like-uber-but,Freelancer,,
Social Media App,"I am looking to have something built that is similar to Facebook. Also I am looking for a flat rate, not an hourly quote. It would need to have the live video feature as well as everything else",Expert,Web Development,"Java Script
MySQL
PHP",,,$ 1000 - 3000,https://www.workana.com/job/social-media-app-4?ref=projects_1,Workana,,
Android E-commerce App Development,"i'm looking for a talented Android developer to create a robust, user-friendly e-commerce mobile application.",Expert,Web Development,"Android App Devlopment
Web devlopment",,,12500-37500,https://www.freelancer.in/projects/android-commerce-app-development-fix,Freelancer,,
Mycarpooling,"Create an app to carpool with others where the driver has the ability to set the price, destination point, maximum number of passengers and others features",Intermediate,Web Development,"Android
Ios
Java Script
Responsive Web Design
API
Web Devlopment",,,$500-1000,https://www.workana.com/job/mycarpooling?ref=projects_1,Workana,,
React dashboard & App Development,"I am seeking an experienced Full-Stack developer or a team for my ongoing business needs. The task requires the development of a dashboard using Express and React + Vite + MongoDB, a React Native application, and two websites using React.",Expert,Web Development,"Java Script
Mobile App Devlopment
Web Devlopment
React Js & Native",,,$1500-3000,https://www.freelancer.in/projects/javascript/react-dashboard-app-development,Freelancer,,
